name1;name2;weight;Source;Target
#fairandbalancedmyass;#Ted;5.83090379;94;305
#Ted;#fairandbalancedmyass;5.83090379;305;94
#Debates2016;#ImWithHer;5.820830572;65;133
#WORK;#CrookedHillary;5.730659026;429;54
#TrumpPence16;#MAGA;5.730430159;325;172
#CrookedHillary;#UPUPUP;5.710450878;54;337
#TrumpPence16;#LGBT;5.691699905;325;158
#UPUPUP;#CrookedHillary;5.681818182;337;54
#UPUPUP;#Trump2016;5.681818182;337;314
#RNCinCLE;#MakeAmericaGreatAgain;5.579407288;257;173
#DemsinPhilly;#DemsInPhilly;5.57682084;75;75
#RNCinCLE;#TrumpIsWithYou;5.576705979;257;321
#WISCONSIN;#WIPrimary;5.555555556;428;428
#debate;#ISIS;5.523540096;63;145
#goodtrouble;#NotOneMore;5.464480874;108;232
#NotOneMore;#goodtrouble;5.464480874;232;108
#VoteTrumpMI;#VoteTrumpVT;5.407547715;352;358
#VoteTrumpVT;#VoteTrumpMI;5.405405405;358;352
#AmericaFirst;#SheWon;5.368118085;15;279
#TrumpPence16;#DemConvention;5.334029313;325;69
#ImWithYou;#SheWon;5.320125558;133;279
#VoteTrump;#CaucusForTrump;5.311290315;348;40
#NationalVoterRegistrationDay;#Debates2016;5.211720888;205;65
#Trump2016;#AZ;5.206301981;314;22
#Trump2016;#UT;5.206301981;314;340
#MakeAmericaGreatAgain;#KansasCaucus;5.162999337;173;152
#TrumpTrain;#laurencetribe;5.126843417;328;156
#laurencetribe;#TrumpTrain;5.115089514;156;328
#DemsInPhilly;#MAGA;5.056536003;75;172
#DNCinPHL;#DemsInPhilly;5.050505051;79;75
#MakeAmericaGreatAgain;#Trump;5.043779749;173;313
#StopGunViolence;#DemsInPhilly;5.038382616;290;75
#NoBillNoBreak;#Olmstead;4.977202708;229;237
#CaucusForTrump;#VoteTrump;4.947027474;40;348
#Trump2016;#Greta;4.936860164;314;117
#MakeAmericaGreatAgain;#Greta;4.916604301;173;117
#MAKEAMERICAGREATAGAIN;#HaileyPuckett;4.878886626;173;118
#HaileyPuckett;#MAKEAMERICAGREATAGAIN;4.87804878;118;173
#AmericaFirst;#RNCINCLE;4.872537375;15;257
#CrookedHillary;#Trump;4.855272544;54;313
#MakeAmericaGreatAgain;#GOPDebate;4.843884531;173;112
#Trump;#CrookedHillary;4.836320238;313;54
#MAGA;#ISIS;4.82877635;172;145
#Trump2016;#AmericanSamoa;4.800061078;314;17
#Trump2016;#MakeYoutubeGreatAgain;4.708746954;314;173
#VoteTrump;#KansasCaucus;4.692386717;348;152
#RNCINCLE;#RNCinCLE;4.683840749;257;257
#MakeAmericaGreatAgain;#NYPrimary;4.660635767;173;232
#RestoreTheVRA;#ugpride2016;4.658514967;251;335
#MakeAmericaGreatAgain;#AmericanSamoa;4.646852757;173;17
#Iowa;#YUGE;4.62962963;143;429
#YUGE;#Iowa;4.62962963;429;143
#ugpride2016;#RestoreTheVRA;4.555808656;335;251
#slipping;#DebateNight;4.524886878;280;64
#Polls;#DebateNight;4.524886878;247;64
#AmericaFirst;#TrumpPence16;4.435796354;15;325
#Trump2016;#NeverTrump;4.389422921;314;224
#debate;#Benghazi;4.383832948;63;23
#MakeAmericaGreatAgain;#NeverTrump;4.349769749;173;224
#Trump2016;#Indiana;4.336776764;314;133
#NationalVoterRegistrationDay;#StrongerTogether;4.321317878;205;292
#KansasCaucus;#VoteTrump;4.319654428;152;348
#debatenight;#ImWithYou;4.293331001;64;133
#NationalVoterRegistrationDay;#LoveTrumpsHate;4.225859895;205;158
#DemsInPhilly;#RollCallVote;4.216054401;75;268
#Greta;#Trump2016;4.210526316;117;314
#Greta;#MakeAmericaGreatAgain;4.210526316;117;173
#MAGA;#Benghazi;4.192227837;172;23
#DemConvention;#TrumpPence16;4.192224775;69;325
#ImWithHer;#LGBT;4.170163982;133;158
#ImWithHer;#Pulse;4.159110509;133;250
#RNCinCLE;#TrumpPence16;4.143915695;257;325
#LGBT;#ImWithHer;4.1294841;158;133
#LGBT;#enough;4.117714168;158;91
#Pulse;#enough;4.106776181;250;91
#Pulse;#ImWithHer;4.106776181;250;133
#enough;#Pulse;4.106776181;91;250
#enough;#LGBT;4.106776181;91;158
#2A;#MakeAmericaGreatAgain;4.104739068;3;173
#MakeAmericaGreatAgain;#LGBT;4.083559321;173;158
#MakeAmericaGreatAgain;#DemsinPHL;4.05783706;173;75
#Trump2016;#LaudatoSi;4.031562398;314;156
#MakeAmericaGreatAgain;#Pulse;4.019064259;173;250
#NationalVoterRegistrationDay;#iRegistered;4.002779918;205;145
#AZ;#Trump2016;3.984063745;22;314
#UT;#Trump2016;3.984063745;340;314
#ImWithHer;#WeMadeHistory;3.983585585;133;364
#MakeAmericaGreatAgain;#ImWithYou;3.982663018;173;133
#MaryBrigidMcManamon;#laurencetribe;3.971534059;173;156
#VoteTrumpMI;#VoteTrumpMA;3.954709471;352;351
#VoteTrumpMA;#VoteTrumpMI;3.95256917;351;352
#StrongerTogether;#MakeAmericaSafeAgain;3.947179131;292;173
#MAGA;#ImWithHer;3.938096491;172;133
#MakeAmericaGreatAgain;#AZPrimary;3.932363784;173;22
#MakeAmericaSafeAgain;#StrongerTogether;3.929997275;173;292
#VoteTrumpNH;#MakeAmericaGreatAgain;3.916780726;354;173
#NeverTrump;#MakeAmericaGreatAgain;3.910100559;224;173
#NeverHillary;#MakeAmericaGreatAgain;3.896297302;223;173
#Trump;#INDPrimary;3.894410044;313;134
#INDPrimary;#Trump;3.891050584;134;313
#DemsinPHL;#MakeAmericaGreatAgain;3.883495146;75;173
#Trump2016;#TRUMP;3.870482648;314;313
#Trump2016;#ICYMI;3.859184804;314;133
#Indiana;#Trump2016;3.846153846;133;314
